,turnover_mean_20,medium_momentum_60_5,bp,ep_ttm,amihud_illiquidity_20,price_volume_corr_20,close_location_reversal_10,short_reversal_5d,vol_adj_momentum_20,small_cap,overnight_gap_reversal_5,long_momentum_120_20,turnover_shock_5_20
turnover_mean_20,1.0,-0.3462715043178242,0.29533177070938643,0.2519565508151861,0.41491808084364346,0.2692661085271696,-0.11295935270456894,-0.01434851007052939,-0.13616810245207459,-0.3012390078160684,-0.1723710090129367,-0.26740847446315175,0.07772872032084296
medium_momentum_60_5,-0.3462715043178242,1.0,-0.12339341062001688,-0.13382016564600993,-0.07723832010681274,-0.14213569271353146,0.0003151849733743351,0.05918438993280287,0.30936414716940575,-0.020399176021435764,0.09309565752334757,0.4431152381478842,-0.03873624512152031
bp,0.29533177070938643,-0.12339341062001688,1.0,0.3842197207576549,0.0041272858192111924,0.08470523793690843,-0.10175434090381494,0.02205393751394962,-0.038544534824444386,-0.07845546423830811,-0.05758019455569034,-0.1833158867837772,0.003110343367092355
ep_ttm,0.2519565508151861,-0.13382016564600993,0.3842197207576549,1.0,0.043566127265060144,0.08752754761940794,-0.05608686095838808,0.026760616059881115,-0.05725666023065366,-0.04026461375362855,-0.0608553167267235,-0.18690010917690442,0.0015360625622088048
amihud_illiquidity_20,0.41491808084364346,-0.07723832010681274,0.0041272858192111924,0.043566127265060144,1.0,0.15231654397738895,-0.05251177298798168,-0.06961463884022957,0.04492494704834585,0.2056329368365942,-0.1584845952818942,-0.05064805038944569,0.1148265109829472
price_volume_corr_20,0.2692661085271696,-0.14213569271353146,0.08470523793690843,0.08752754761940794,0.15231654397738895,1.0,-0.01916179760936353,0.1404381211526531,-0.4078883115591216,-0.03012656278943353,-0.07838940645362805,0.01705653771033844,-0.0875811707877969
close_location_reversal_10,-0.11295935270456894,0.0003151849733743351,-0.10175434090381494,-0.05608686095838808,-0.05251177298798168,-0.01916179760936353,1.0,0.3500214286758852,-0.3149924089181116,0.02228769707676367,-0.07685363006898246,0.0646271926269952,-0.22659518850713645
short_reversal_5d,-0.01434851007052939,0.05918438993280287,0.02205393751394962,0.026760616059881115,-0.06961463884022957,0.1404381211526531,0.3500214286758852,1.0,-0.4027132193152028,0.002957442745577716,0.2248884812771078,0.019187425013242602,-0.38853302663866096
vol_adj_momentum_20,-0.13616810245207459,0.30936414716940575,-0.038544534824444386,-0.05725666023065366,0.04492494704834585,-0.4078883115591216,-0.3149924089181116,-0.4027132193152028,1.0,-0.008271446869793668,-0.04436368410408792,-0.03217064252761389,0.32172136563821774
small_cap,-0.3012390078160684,-0.020399176021435764,-0.07845546423830811,-0.04026461375362855,0.2056329368365942,-0.03012656278943353,0.02228769707676367,0.002957442745577716,-0.008271446869793668,1.0,-0.0034765238294130105,-0.03375424612098497,-0.010285081918894585
overnight_gap_reversal_5,-0.1723710090129367,0.09309565752334757,-0.05758019455569034,-0.0608553167267235,-0.1584845952818942,-0.07838940645362805,-0.07685363006898246,0.2248884812771078,-0.04436368410408792,-0.0034765238294130105,1.0,0.04242258339499992,-0.05675034715200462
long_momentum_120_20,-0.26740847446315175,0.4431152381478842,-0.1833158867837772,-0.18690010917690442,-0.05064805038944569,0.01705653771033844,0.0646271926269952,0.019187425013242602,-0.03217064252761389,-0.03375424612098497,0.04242258339499992,1.0,-0.09291329473114916
turnover_shock_5_20,0.07772872032084296,-0.03873624512152031,0.003110343367092355,0.0015360625622088048,0.1148265109829472,-0.0875811707877969,-0.22659518850713645,-0.38853302663866096,0.32172136563821774,-0.010285081918894585,-0.05675034715200462,-0.09291329473114916,1.0
