trade_date,small_cap,ep_ttm,bp,dividend_yield,short_reversal_5d,medium_momentum_60_5,long_momentum_120_20,vol_adj_momentum_20,low_volatility_20,downside_volatility_20,return_skewness_20,amihud_illiquidity_20,turnover_mean_20,turnover_stability_20,turnover_shock_5_20,price_volume_corr_20,volume_surge_reversal_5_20,intraday_range_20,close_location_reversal_10,overnight_gap_reversal_5
2025-01-03,-0.022749333402599884,-0.016937470878082835,-0.02474093943867512,-0.019383951179012978,,,,,,,,,,,,,,,,
2025-01-06,-0.0026971439903199887,-2.059180664336894e-05,-0.0034478430167725997,0.0008023480185277945,,,,,,,,,,,,,,,,
2025-01-07,0.01883066369299422,0.012002021355054139,0.013862917698114603,0.013461126473956935,,,,,,,,,,,,,,,,
2025-01-08,0.0005427772085598844,-0.0016181785673712301,-0.004022038194395267,-0.0018180918966114797,,,,,,,,,,,,,,,,
2025-01-09,0.001826322931160858,-0.000979796901300693,-0.0016845249975573052,-0.0011892793713174409,,,,,,,,,,,,,,,,
2025-01-10,-0.023640299565971926,-0.021936066123530346,-0.022565634214478193,-0.022201503743920863,,,,,,,,,,,,,,,,
2025-01-13,-0.0017665364181066413,-0.001389007297568875,0.0009177427521338358,-0.0010471237250741841,,,,,,,,,,,,,,,,
2025-01-14,0.041563978344602424,0.03710613030205104,0.03504322285103356,0.033813656931526256,,,,,,,,,,,,,,,,
2025-01-15,-0.006176763022431309,-0.004343113392265612,-0.003034982311490946,-0.004298138788881919,,,,,,,,,,,,,,,,
2025-01-16,0.004268354565729512,0.008601703951489703,0.007275157844111921,0.008235218081575343,,,,,,,,,,,,,,,,
2025-01-17,0.00010670464738823421,0.006838461495786967,0.0019395170725355997,0.003919807233682801,,,,,,,,,,,,,,,,
2025-01-20,0.006150555572496329,0.006262227307028849,0.004207226283220224,0.00580281565406441,,,,,,,,,,,,,,,,
2025-01-21,0.0006853800204866443,0.0013815517043860388,-0.002261742372459528,-0.0008053505577884116,,,,,,,,,,,,,,,,
2025-01-22,-0.011147497864993257,-0.009516358047068182,-0.009158029835243326,-0.009000733248293497,,,,,,,,,,,,,,,,
2025-01-23,0.0028741003096091067,0.0038090649031479414,0.0033362261691751477,0.0022078444437125685,,,,,,,,,,,,,,,,
2025-01-24,0.0071560440007252335,0.012065460125094204,0.009836990167781341,0.011051329564144077,,,,,,,,,,,,,,,,
2025-01-27,-0.00812435547839365,-0.006585803145737555,-0.005375401649109587,-0.005526031415894263,,,,,,,,,,,,,,,,
2025-02-05,0.00046602037416506676,-0.004280843986066081,0.002596896861658155,-0.0024043639049317186,,,,,,,,,,,,,,,,
2025-02-06,0.02132300348465007,0.018365471727075224,0.017348731796735316,0.01570793078713261,0.026302275749172162,,,,,,,,,,,,,,0.02543931149534486,0.021908793775909735
2025-02-07,0.012070560938284824,0.013374172247687098,0.012291950699319147,0.010423040064500204,0.016936103565970372,,,,,,,,,,,,,,0.017921422472689366,0.014903931364832281
2025-02-10,0.01388604850450656,0.006886528390661125,0.011382075803004342,0.005057888097004266,0.01503484831569399,,,,,,,,,,,,,,0.015832987603625674,0.01318272143612747
2025-02-11,-0.0004123471943100873,0.0006845790072328325,-0.0024501539309510927,-7.889443793772118e-05,-0.0012475890248079408,,,,,,,,,,,,,,-0.0038273868636967295,-0.0015982596341931248
2025-02-12,0.010078194713553017,0.008210455327820738,0.009478825368304229,0.007594318898131642,0.014380365872517136,,,,,,,,,,,,,,0.013480464499227745,0.010729222642541886
2025-02-13,-0.00987933215651213,-0.008834254394549643,-0.005432589770942293,-0.0076361282330098595,-0.007063222395061729,,,,,,,,,,,,,,-0.005968278261611378,-0.00757579597702314
2025-02-14,0.0038096307992230723,0.004345101343432609,0.003963597578524766,0.002843428428154173,-0.0010842742058719006,,,,,,,,,,,,,,0.001499394436421447,-0.0012680381726392549
2025-02-17,0.00970007607562098,0.0028072926460073868,0.0058502489930315526,0.001577714015089986,0.011904520392114334,,,,,,,,,,,,,,0.008517083479645375,0.011323872600877185
