股票代码,股票简称,平均涨跌幅,涨跌幅标准差,出现次数,累计涨跌幅,起始价,终止价
603980,吉华集团,-0.0091,0.1395,2,-0.0183,8.72,8.64
600828,茂业商业,-0.0105,0.0185,2,-0.0209,7.24,7.71
000620,盈新发展,-0.018,,1,-0.018,3.33,3.27
002925,盈趣科技,-0.02,,1,-0.02,20.49,20.08
600230,沧州大化,-0.0215,,1,-0.0215,18.15,17.76
002153,石基信息,-0.0235,,1,-0.0235,16.14,15.76
603861,白云电器,-0.0246,,1,-0.0246,18.28,17.83
603132,金徽股份,-0.0261,0.1378,2,-0.0521,22.18,21.6
002512,达华智能,-0.0262,,1,-0.0262,7.62,7.42
601096,宏盛华源,-0.0264,,1,-0.0264,5.31,5.17
002355,兴民智通,-0.0281,,1,-0.0281,7.48,7.27
002361,神剑股份,-0.0302,,1,-0.0302,15.24,14.78
603466,风语筑,-0.031,,1,-0.031,10.96,10.62
603608,天创时尚,-0.0324,,1,-0.0324,12.05,11.66
002769,普路通,-0.0327,,1,-0.0327,13.75,13.3
001330,博纳影业,-0.0329,,1,-0.0329,12.47,12.06
603305,旭升集团,-0.0347,,1,-0.0347,21.01,20.28
600135,乐凯胶片,-0.0354,,1,-0.0354,12.72,12.27
002279,久其软件,-0.0363,,1,-0.0363,10.48,10.1
000039,中集集团,-0.0377,,1,-0.0377,11.41,10.98
000070,特发信息,-0.0384,0.04,2,-0.0769,19.5,17.55
600884,杉杉股份,-0.0398,,1,-0.0398,15.81,15.18
000503,国新健康,-0.0413,,1,-0.0413,11.61,11.13
000630,铜陵有色,-0.0422,0.2096,2,-0.0844,9.19,8.35
002054,德美化工,-0.0443,,1,-0.0443,11.06,10.57
003039,顺控发展,-0.0485,,1,-0.0485,17.52,16.67
600871,石化油服,-0.0495,,1,-0.0495,3.23,3.07
000720,新能泰山,-0.05,,1,-0.05,4.0,3.8
601388,怡球资源,-0.0503,,1,-0.0503,4.37,4.15
002339,积成电子,-0.0518,,1,-0.0518,11.4,10.81
600481,双良节能,-0.054,,1,-0.054,11.11,10.51
002554,惠博普,-0.0563,,1,-0.0563,3.91,3.69
600215,派斯林,-0.0603,,1,-0.0603,8.46,7.95
002015,协鑫能科,-0.0618,,1,-0.0618,13.27,12.45
600545,卓郎智能,-0.064,,1,-0.064,3.28,3.07
600770,综艺股份,-0.0647,,1,-0.0647,6.8,6.36
000917,电广传媒,-0.0656,,1,-0.0656,13.27,12.4
600370,三房巷,-0.073,,1,-0.073,2.74,2.54
000036,华联控股,-0.0736,,1,-0.0736,6.79,6.29
603138,海量数据,-0.0747,,1,-0.0747,22.62,20.93
000785,居然智家,-0.0748,,1,-0.0748,3.61,3.34
002707,众信旅游,-0.0781,,1,-0.0781,9.09,8.38
002316,亚联发展,-0.0785,0.0962,2,-0.157,6.28,5.65
603017,中衡设计,-0.0808,0.1003,2,-0.1615,14.63,13.17
002951,金时科技,-0.0826,0.1024,2,-0.1652,19.48,17.53
600662,外服控股,-0.0833,0.1042,2,-0.1666,6.88,6.19
002462,嘉事堂,-0.0836,0.1044,2,-0.1672,19.12,17.21
600330,天通股份,-0.085,,1,-0.085,16.94,15.5
600877,电科芯片,-0.0856,,1,-0.0856,22.54,20.61
000516,国际医学,-0.0904,0.1006,2,-0.1809,6.19,5.09
002574,明牌珠宝,-0.0922,0.1162,2,-0.1843,7.69,6.92
000892,欢瑞世纪,-0.0928,0.1281,2,-0.1856,9.87,8.95
600774,汉商集团,-0.0979,,1,-0.0979,11.64,10.5
001202,炬申股份,-0.0979,0.1124,2,-0.1959,22.21,19.08
601992,金隅集团,-0.0987,0.1263,2,-0.1974,2.34,2.11
001376,百通能源,-0.0995,,1,-0.0995,24.52,22.08
603729,龙韵股份,-0.1,0.127,2,-0.2,23.76,21.38
002546,新联电子,-0.103,,1,-0.103,10.0,8.97
002207,准油股份,-0.1047,,1,-0.1047,11.18,10.01
002030,达安基因,-0.1089,,1,-0.1089,7.71,6.87
603095,越剑智能,-0.1106,,1,-0.1106,21.6,19.21
000737,北方铜业,-0.1473,,1,-0.1473,20.57,17.54
002219,新里程,-0.1491,,1,-0.1491,2.75,2.34
002524,光正眼科,-0.1529,,1,-0.1529,5.56,4.71
000078,海王生物,-0.167,,1,-0.167,4.49,3.74
600410,华胜天成,-0.1675,,1,-0.1675,24.42,20.33
002264,新华都,-0.182,,1,-0.182,12.09,9.89
002723,小崧股份,-0.1876,,1,-0.1876,11.62,9.44
002446,盛路通信,-0.1902,,1,-0.1902,14.67,11.88
