date,num_stocks_total,num_stocks_tradable,capital_per_stock,daily_return,portfolio_value
2026-01-05,7,7,4285.714285714285,0.023827012534071206,30714.810376022135
2026-01-06,26,11,2792.255488729285,0.033038043910586984,31729.56762993051
2026-01-07,40,13,2440.735971533116,0.02244533978143016,32441.748556502167
2026-01-08,48,10,3244.1748556502166,0.0083982129001258,32714.201267732024
2026-01-09,39,9,3634.911251970225,0.008414206423974304,32989.46531019416
2026-01-10,25,16,2061.841581887135,0.015506000731565661,33500.99998342799
2026-01-11,25,17,1970.6470578487051,0.014478134295034847,33986.03196020602
2026-01-12,50,10,3398.603196020602,0.017047981328745097,34565.42519850175
2026-01-13,53,9,3840.6027998335276,0.0027756933883169577,34661.36822068959
2026-01-14,56,8,4332.671027586199,-0.020000228398963288,33968.13293965523
2026-01-15,43,15,2264.5421959770156,-0.026997059881754805,33051.093220611954
2026-01-16,29,12,2754.2577683843297,-0.03276502338760162,31968.173378252803
2026-01-17,16,13,2459.0902598656003,-0.0032518334830486,31864.218201669497
2026-01-18,16,13,2451.0937078207307,-0.0032518334830486,31760.601070010143
2026-01-19,23,13,2443.1231592315494,0.0010941480093526424,31795.35186844674
2026-01-20,22,14,2271.0965620319103,0.006328106330118243,31996.556235873795
2026-01-21,25,16,1999.7847647421122,0.009107422638540974,32287.962396491745
2026-01-22,29,16,2017.997649780734,0.006780940683530544,32506.90515429442
2026-01-23,23,17,1912.1708914290837,0.008813631232386947,32793.40902883055
2026-01-24,16,13,2522.569925294658,0.008905627684148777,33085.45492013532
2026-01-25,16,13,2545.0349938565632,0.008905627684148777,33380.10166341474
2026-01-26,29,15,2225.340110894316,0.021833459509440423,34108.90476150391
2026-01-27,27,13,2623.76190473107,0.025754591862288848,34987.36568250612
2026-01-28,26,14,2499.097548750437,0.024075907141241186,35829.71824979478
2026-01-29,26,16,2239.3573906121737,-0.0027788063820906456,35730.15440005374
2026-01-30,20,15,2382.0102933369158,-0.000400211592045574,35715.85477807726
2026-01-31,16,14,2551.1324841483756,-0.006827640940951951,35471.99974575336
2026-02-01,16,14,2533.7142675538116,-0.006827640940951951,35229.80966803182
2026-02-02,21,16,2201.8631042519887,0.001821355220695764,35293.97566579481
2026-02-03,13,13,2714.921205061139,0.01789544715919247,35925.57714235987
2026-02-04,19,18,1995.8653967977707,0.01604628228007129,36502.049094260656
2026-02-05,21,17,2147.179358485921,0.0126727589697621,36964.630764334644
2026-02-06,22,18,2053.590598018591,0.01055210912966531,37354.68558209769
2026-02-07,13,13,2873.437352469053,0.008992095128717946,37690.582468355264
2026-02-08,13,13,2899.2755744888664,0.008992095128717946,38029.499771367504
2026-02-09,24,20,1901.4749885683752,0.006074447918357445,38260.50798708986
2026-02-10,26,20,1913.0253993544932,0.010308269342437998,38654.90760859928
2026-02-11,29,21,1840.709886123775,-0.00010118701958736342,38650.99623370594
2026-02-12,27,20,1932.549811685297,-0.0010403827335363157,38610.78440459041
2026-02-13,21,19,2032.1465476100218,-0.008479410368493704,38283.38771897445
2026-02-14,12,12,3190.2823099145376,0.00046070193220306327,38301.024949667866
2026-02-15,12,12,3191.752079138989,0.00046070193220306327,38318.67030586754
2026-02-16,12,12,3193.2225254889618,0.00046070193220306327,38336.32379131691
2026-02-17,12,12,3194.693649276409,0.00046070193220306327,38353.98540976113
2026-02-18,12,12,3196.1654508134275,0.00046070193220306327,38371.6551649471
2026-02-19,12,12,3197.6379304122584,0.00046070193220306327,38389.33306062342
2026-02-20,12,12,3199.1110883852853,0.00046070193220306327,38407.01910054044
2026-02-21,12,12,3200.584925045037,0.00046070193220306327,38424.71328845022
2026-02-22,12,12,3202.059440704185,0.00046070193220306327,38442.41562810656
2026-02-23,12,12,3203.5346356755467,0.00046070193220306327,38460.126123264985
2026-02-24,12,12,3205.0105102720822,0.00046070193220306327,38477.84477768275
2026-02-25,3,3,12825.948259227584,0.005569736970774564,38692.156252296736
